longitude,latitude,label,red_mean,red_std,red_min,red_max,red_p10,red_p90,red_amp,nir_mean,nir_std,nir_min,nir_max,nir_p10,nir_p90,nir_amp,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_p10,ndvi_p90,ndvi_amp
-59.91156414697814,-6.14464891917017,Disturbio,0.023128716470233426,0.007138947427381726,0.012899999999999995,0.04530000000000001,0.01663999884166657,0.034380006374747286,0.03240000000000001,0.2987471707850455,0.03341958720954134,0.2266,0.35630000000000006,0.2629799832632538,0.34734997491717334,0.12970000000000007,0.8592948863988451,0.028567026685571786,0.7648585517778353,0.892275574112735,0.8203558096464483,0.8862190957370772,0.1274170223348996
-59.93469604812318,-6.106851936050715,Disturbio,0.07964828954898866,0.028744742316333848,0.022699999999999998,0.15620000000000003,0.057079993956697876,0.11924573710109948,0.13350000000000004,0.22948147219554246,0.03072328606504942,0.14500000000000002,0.26849999999999996,0.18615999780016337,0.25379999674323617,0.12349999999999994,0.48734237780936107,0.17213251327571472,0.1711329265057044,0.8301533857089414,0.27208959109925174,0.6294594520810048,0.6590204592032369
-59.91314418791601,-6.140859748320202,Disturbio,0.0276445868662359,0.009863289056178297,0.013700000000000004,0.0474,0.01812000074249952,0.04039000259892209,0.033699999999999994,0.23873569150254156,0.034136621532062345,0.18689999999999998,0.3184,0.20239995877523545,0.2887499866878853,0.13150000000000003,0.7950974289440471,0.06031471637612102,0.6558565433040824,0.8829095209934951,0.7109733860461612,0.863804542125901,0.22705297768941268
-59.97203114486489,-6.083184565324117,Disturbio,0.028703104623847123,0.010606482926670673,0.017699999999999994,0.05740000000000001,0.01866000140941344,0.04759990935001555,0.03970000000000001,0.27771244302476766,0.034196977951706696,0.2286,0.3459,0.23734000304208133,0.3175714106833687,0.11729999999999999,0.8165203530193709,0.04581628667004506,0.6902320561252023,0.8612308898471189,0.7252075859196381,0.8555808930935686,0.1709988337219166
-59.92986397973986,-6.142152671319932,Disturbio,0.028808213964916608,0.01157544190255933,0.010700000000000001,0.0572,0.020000000000000004,0.0502699750082425,0.0465,0.3178480208893027,0.04691816892711059,0.18400000000000002,0.4253,0.2879000023297368,0.3779799802598728,0.2413,0.8398178082141041,0.03833429896648368,0.7352222765021983,0.8900873138161273,0.7796243647729444,0.8746589569006226,0.15486503731392898
-59.93275272322021,-6.115698223461539,Disturbio,0.03347383142655574,0.018730603496820434,0.017699999999999994,0.1116,0.02059999923801842,0.04482399627725245,0.09390000000000001,0.32505510745964,0.038511862608745714,0.20070000000000002,0.3964,0.29427999961388884,0.3817559503310827,0.19569999999999996,0.8192551033475403,0.07900167619525861,0.4666666666666667,0.8716237686685733,0.7789559300525952,0.8674574503514522,0.4049571020019066
-59.91367350101028,-6.05212889039829,Disturbio,0.07014517603807892,0.021184599204319813,0.0421,0.1192,0.04539999942388994,0.10559991791590329,0.0771,0.21832076449353055,0.07205515778485913,0.1066,0.34320000000000006,0.1126000778851286,0.2894999687187567,0.23660000000000006,0.47202468334272824,0.2038616065236972,0.2068595927116827,0.7222038931045859,0.22594151516781696,0.7097143813991483,0.5153443003929032
-59.941525549601074,-6.120194669284455,Disturbio,0.026918150960024236,0.013969456980603279,0.014799999999999994,0.07680000000000001,0.015170000845387416,0.044133348305550914,0.06200000000000001,0.28224142699275784,0.03036614577213944,0.24050000000000002,0.3447,0.24773000681953158,0.3249999770190862,0.10419999999999999,0.8354137105833777,0.05799528432092338,0.6355871886120997,0.8894658753709198,0.7622231790787513,0.8859060367006558,0.2538786867588201
-59.97012396043237,-6.076911076116838,Disturbio,0.028431164078355817,0.004190748843134535,0.022000000000000006,0.04189999999999999,0.02388,0.03361429506323337,0.019899999999999987,0.2969893075940718,0.03598335416039153,0.2441,0.3628,0.2483299994158337,0.3438285709636954,0.1187,0.8243121185331104,0.016744358520143447,0.77442799461642,0.8501872659176029,0.8047187125601655,0.845093512805896,0.07575927130118287
-59.94088602862955,-6.074562865053083,Disturbio,0.07657546828155798,0.018930913399294605,0.044800000000000006,0.1364,0.05991999955055591,0.10002506307522718,0.09159999999999999,0.2170893989006007,0.06889788403195393,0.10830000000000001,0.3075,0.13089993414618067,0.28775000870516326,0.1992,0.4393707095430207,0.2145233860832441,0.05801104972375703,0.6614832535885168,0.1788882822006377,0.6518065337579501,0.6034722038647597
-59.95920783505473,-6.113804087048218,Disturbio,0.039531158067954514,0.015947259059270504,0.023500000000000007,0.09390000000000001,0.026650004096573678,0.06840000210201815,0.0704,0.3343544081103512,0.024444367549779605,0.2712,0.4061,0.3161600120523031,0.3675570524788925,0.13490000000000002,0.7915415129068717,0.06979225154680063,0.5687715269804822,0.8652136507026096,0.6780418798279892,0.8572231615378474,0.2964421237221274
-59.930602870299296,-6.131963506060376,Disturbio,0.02846222063436263,0.013597886650808555,0.015200000000000005,0.0728,0.016700000026543208,0.04270002590779378,0.0576,0.30998376967789487,0.05110451345048953,0.1621,0.35960000000000003,0.22703333450831267,0.35876666525958073,0.19750000000000004,0.8346826976482804,0.056313249521903114,0.6413793103448278,0.8878143133462283,0.763440742504722,0.8860570968186516,0.24643500300140053
